"filename", "language", "Go", "Go Module File", "comment", "blank", "total"
"/home/anonymous/Desktop/projects/playground/generic-cache/cache.go", "Go", 20, 0, 7, 7, 34
"/home/anonymous/Desktop/projects/playground/generic-cache/cooking.go", "Go", 27, 0, 10, 9, 46
"/home/anonymous/Desktop/projects/playground/generic-cache/go.mod", "Go Module File", 0, 2, 0, 2, 4
"Total", "-", 47, 2, 17, 18, 84
